
Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (K),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s),Density (kg/m³),Thrust to weight ()
0.01,0.006832,1.366871,136.782497,1.366871,136.782497,0,0,0,0,0,0,-0.544543,2.617075,9.79323,1.322624,0,0,0,18.58501,6.550781,7.837868,0.048705,NaN,1.49793,NaN,0.016412,941931.716743,2724.116494,0.005099,0.439235,0.014414,0.306406,0.012794,0.120035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000171,0.1564,0.019212,1.570796,0,5.395455,286.102456,97630.497712,339.148088,0.01,0.00276,1.186183,14.967074
0.02,0.027337,2.734378,136.813774,2.734378,136.813774,0,0,0,0,0,0,-0.544543,2.617075,9.79323,1.092205,0,0,0,18.568791,6.534561,7.830876,0.048684,NaN,1.497408,NaN,0.017507,1004796.720591,2722.349481,0.034693,0.435329,0.08618,0.302492,0.012797,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000341,0.1564,0.019212,1.570796,0,5.270358,286.102322,97630.257257,339.148007,0.01,0.00444,1.186181,14.970431
0.03,0.061519,4.102189,136.843275,4.102189,136.843275,0,0,0,0,0,0,-0.544543,2.617075,9.79323,0.897719,0,0,0,18.552571,6.518342,7.823874,0.048663,NaN,1.496886,NaN,0.019403,1113597.5242,2720.582469,0.098254,0.429268,0.198706,0.296417,0.012803,0.120049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000512,0.1564,0.019212,1.570796,0,5.145262,286.1021,97629.856362,339.147873,0.01,0.006009,1.186177,14.973793
0.04,0.10938,5.470286,136.871055,5.470286,136.871055,0,0,0,0,0,0,-0.544543,2.617075,9.79323,0.742517,0,0,0,18.536352,6.502122,7.816862,0.048643,NaN,1.496363,NaN,0.021892,1256472.064667,2718.815456,0.194655,0.422386,0.309227,0.289514,0.01281,0.120062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000682,0.1564,0.019212,1.570796,0,5.020165,286.101789,97629.295029,339.147684,0.01,0.007246,1.186171,14.977162
0.05,0.170924,6.838652,136.897397,6.838652,136.897397,0,0,0,0,0,0,-0.544543,2.617075,9.79323,0.621248,0,0,0,18.520132,6.485903,7.80984,0.048622,NaN,1.495838,NaN,0.024798,1423214.86928,2717.048444,0.318617,0.415536,0.394497,0.282637,0.012819,0.12008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000853,0.1564,0.019212,1.570796,0,4.895069,286.101389,97628.573225,339.147442,0.01,0.008503,1.186164,14.980536
0.06,0.246152,8.207276,136.922657,8.207276,136.922657,0,0,0,0,0,0,-0.544543,2.617075,9.793229,0.534391,0,0,0,18.503913,6.469683,7.802807,0.048601,NaN,1.495313,NaN,0.02812,1613905.082233,2715.281431,0.463438,0.408874,0.446221,0.275942,0.012829,0.120103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001024,0.1564,0.019212,1.570796,0,4.857324,286.1009,97627.690919,339.147145,0.01,0.009657,1.186155,14.983916
0.07,0.335068,9.576148,136.946968,9.576148,136.946968,0,0,0,0,0,0,-0.544543,2.617075,9.793229,0.466276,0,0,0,18.487693,6.453464,7.795765,0.048581,NaN,1.494787,NaN,0.03161,1814199.052646,2713.514419,0.626635,0.402893,0.477481,0.269923,0.012841,0.12013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001195,0.1564,0.019212,1.570796,0,4.819578,286.100322,97626.648082,339.146795,0.01,0.010928,1.186145,14.987303
0.08,0.437675,10.945257,136.970477,10.945257,136.970477,0,0,0,0,0,0,-0.544543,2.617075,9.793229,0.411895,0,0,0,18.471474,6.437244,7.788712,0.04856,NaN,1.49426,NaN,0.035219,2021254.559999,2711.747407,0.80543,0.397548,0.494419,0.264534,0.012853,0.120161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001365,0.1564,0.019212,1.570796,0,4.781833,286.099655,97625.444685,339.146391,0.01,0.012145,1.186133,14.990695
0.09,0.553973,12.314598,136.993288,12.314598,136.993288,0,0,0,0,0,0,-0.544543,2.617075,9.793229,0.367719,0,0,0,18.455255,6.421025,7.781648,0.048539,NaN,1.493732,NaN,0.038912,2233200.711245,2709.980394,0.997876,0.392785,0.501796,0.259722,0.012866,0.120197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001536,0.1564,0.019212,1.570796,0,4.744088,286.098899,97624.080701,339.145933,0.01,0.013443,1.18612,14.994094
0.1,0.683966,13.684164,137.015476,13.684164,137.015476,0,0,0,0,0,0,-0.544543,2.617075,9.793228,0.331254,0,0,0,18.439035,6.404805,7.774575,0.048519,NaN,1.493203,NaN,0.042669,2448775.575355,2708.213382,1.20254,0.388518,0.502926,0.255402,0.01288,0.120237,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001707,0.1564,0.019212,1.570796,0,4.706343,286.098054,97622.556103,339.145421,0.01,0.014597,1.186105,14.997498
0.11,0.827655,15.053947,137.036815,15.053947,137.036815,0,0,0,0,0,0,-0.544543,2.617075,9.793228,0.307534,0,0,0,18.422816,6.388586,7.767491,0.048498,NaN,1.492673,NaN,0.046573,2672816.882393,2706.446369,1.423559,0.384573,0.49973,0.251395,0.012895,0.120282,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001878,0.1564,0.019212,1.570796,0,4.781301,286.09712,97620.870866,339.144855,0.01,0.015543,1.186088,15.000908
0.12,0.985044,16.423939,137.05747,16.423939,137.05747,0,0,0,0,0,0,-0.544543,2.617075,9.793227,0.28749,0,0,0,18.406596,6.372366,7.760397,0.048477,NaN,1.492143,NaN,0.0505,2898154.643525,2704.679357,1.657875,0.381017,0.494998,0.247773,0.012912,0.120332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002049,0.1564,0.019212,1.570796,0,4.856259,286.096097,97619.024963,339.144235,0.01,0.016567,1.18607,15.004325
0.13,1.156133,17.794134,137.077624,17.794134,137.077624,0,0,0,0,0,0,-0.544543,2.617075,9.793227,0.270342,0,0,0,18.390377,6.356147,7.753292,0.048457,NaN,1.491611,NaN,0.054445,3124512.709776,2702.912344,1.902089,0.377791,0.488603,0.244477,0.012929,0.120385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00222,0.1564,0.019212,1.570796,0,4.931218,286.094985,97617.018371,339.143561,0.01,0.01768,1.18605,15.007748
0.14,1.340925,19.164529,137.097257,19.164529,137.097257,0,0,0,0,0,0,-0.544543,2.617075,9.793226,0.255511,0,0,0,18.374157,6.339927,7.746177,0.048436,NaN,1.491078,NaN,0.058405,3351688.062494,2701.145332,2.156502,0.374848,0.481402,0.241458,0.012947,0.120443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002391,0.1564,0.019212,1.570796,0,5.006176,286.093784,97614.851066,339.142833,0.01,0.018664,1.186029,15.011176
0.15,1.539423,20.535116,137.116329,20.535116,137.116329,0,0,0,0,0,0,-0.544543,2.617075,9.793226,0.242564,0,0,0,18.357938,6.323708,7.739052,0.048415,NaN,1.490545,NaN,0.062376,3579528.05657,2699.378319,2.421865,0.37215,0.474,0.238679,0.012966,0.120506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002562,0.1564,0.019212,1.570796,0,5.081134,286.092494,97612.523026,339.142051,0.01,0.019609,1.186006,15.014611
0.16,1.751627,21.905893,137.135222,21.905893,137.135222,0,0,0,0,0,0,-0.544543,2.617075,9.793225,0.228965,0,0,0,18.341718,6.307488,7.731916,0.048394,NaN,1.49001,NaN,0.066323,3805952.226502,2697.611307,2.691127,0.369686,0.465888,0.236128,0.012986,0.120572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002733,0.1564,0.019212,1.570796,0,5.105198,286.091114,97610.034228,339.141215,0.01,0.02068,1.185982,15.018052
0.17,1.97754,23.276856,137.153591,23.276856,137.153591,0,0,0,0,0,0,-0.544543,2.617075,9.793225,0.216893,0,0,0,18.325499,6.291269,7.72477,0.048374,NaN,1.489475,NaN,0.070282,4033019.888815,2695.844294,2.970621,0.367403,0.457988,0.233755,0.013006,0.120642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002904,0.1564,0.019212,1.570796,0,5.129263,286.089646,97607.38465,339.140325,0.01,0.021658,1.185955,15.0215
0.18,2.217163,24.647999,137.171402,24.647999,137.171402,0,0,0,0,0,0,-0.544543,2.617075,9.793224,0.206108,0,0,0,18.309279,6.275049,7.717613,0.048353,NaN,1.488938,NaN,0.07425,4260629.667121,2694.077282,3.260901,0.365282,0.450455,0.231538,0.013028,0.120717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003075,0.1564,0.019212,1.570796,0,5.153327,286.088088,97604.57427,339.139382,0.01,0.022819,1.185928,15.024953
0.19,2.470499,26.019317,137.188633,26.019317,137.188633,0,0,0,0,0,0,-0.544543,2.617075,9.793223,0.196417,0,0,0,18.29306,6.25883,7.710445,0.048332,NaN,1.488401,NaN,0.078226,4488700.137127,2692.310269,3.562395,0.363306,0.443359,0.22946,0.013051,0.120796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003246,0.1564,0.019212,1.570796,0,5.177391,286.086442,97601.603067,339.138384,0.01,0.024246,1.185898,15.028412
