t,ls,alt,vel,ax,ay,az,hax,hay,haz
0,10,0.00,0.00,0.00,0.00,0.00,0.00,-0.96,8.17
0,10,0.00,0.00,0.13,0.43,9.87,-0.48,-2.88,9.13
0,10,0.00,0.00,0.59,0.32,9.80,0.48,-2.40,10.57
0,20,0.00,0.00,0.17,0.28,9.80,0.96,-0.96,9.61
0,20,0.00,0.00,-0.06,0.28,9.76,0.96,-1.92,10.09
0,20,0.00,0.00,0.40,0.47,9.68,0.96,-2.40,10.09
0,20,0.00,0.00,0.32,0.36,9.72,-0.96,-1.44,8.65
0,20,0.00,0.00,-0.02,0.28,9.72,1.44,-3.84,12.01
0,20,0.00,0.00,0.09,0.36,9.68,0.48,-1.92,10.57
0,20,0.00,0.00,0.71,0.55,9.68,0.96,-1.92,10.09
0,20,0.00,0.00,0.48,0.40,9.76,-0.48,-1.92,6.73
0,20,0.00,0.00,0.21,0.13,9.72,0.00,-1.92,8.65
0,20,0.00,0.00,1.59,0.82,9.57,-0.48,0.48,9.61
0,20,0.00,0.00,-0.83,0.28,9.84,0.96,-5.29,11.53
0,20,0.00,0.00,0.71,0.59,9.68,0.00,0.00,9.61
0,20,0.00,0.00,-0.37,0.28,9.91,-1.44,0.00,9.13
0,20,0.00,0.00,-1.09,-0.25,9.91,-1.44,-3.36,9.13
0,20,0.00,0.00,0.86,0.66,9.60,0.00,-2.40,9.13
0,20,0.00,0.00,0.82,0.55,9.64,-0.96,-2.40,9.61
0,20,0.00,0.00,-0.48,0.05,9.80,0.00,-2.40,9.61
0,20,0.00,0.00,0.74,0.05,9.68,-0.96,-2.40,8.65
0,20,0.00,0.00,0.36,-0.10,9.72,0.48,-0.96,10.09
0,20,0.00,0.00,-0.14,0.17,9.80,0.96,-2.88,10.09
0,20,0.00,0.00,0.29,0.51,9.64,0.00,-1.44,8.17
0,20,0.00,0.00,0.59,0.47,9.68,-0.48,-2.40,8.17
0,20,0.00,0.00,0.09,0.13,9.76,0.00,-0.48,8.65
0,20,0.00,0.00,0.25,0.02,9.76,0.48,-2.88,11.05
0,20,0.00,0.00,0.48,0.47,9.68,0.48,-3.84,8.17
0,20,0.00,0.00,0.25,0.51,9.72,0.96,-1.92,9.13
0,20,0.00,0.00,0.21,0.17,9.72,0.00,-2.88,9.13
0,20,0.00,0.00,0.48,0.47,9.72,0.00,-3.36,8.65
0,20,0.00,0.00,0.13,0.40,9.76,1.44,-0.96,9.13
0,20,0.00,0.00,-0.06,0.36,9.72,0.96,-2.40,8.65
0,20,0.00,0.00,0.52,0.32,9.64,0.96,-2.40,9.61
0,20,0.00,0.00,0.29,0.36,9.72,0.48,-1.92,10.57
0,20,0.00,0.00,0.17,0.40,9.76,-0.48,-0.96,10.09
0,20,0.00,0.00,0.40,0.55,9.68,0.48,-2.88,7.69
0,20,0.00,0.00,0.13,0.36,9.76,-0.48,-3.84,8.65
0,20,0.00,0.00,0.25,0.21,9.80,0.00,-2.40,9.61
0,20,0.00,0.00,0.40,0.28,9.72,1.92,-1.92,8.65
0,20,0.00,0.00,0.21,0.36,9.72,0.00,-1.44,9.13
0,20,0.00,0.00,0.17,0.55,9.72,-0.96,-0.96,10.57
0,20,0.00,0.00,0.25,0.40,9.68,-0.48,-0.96,8.65
0,20,0.00,0.00,0.02,0.24,9.72,0.96,-3.36,10.57
8129,20,0.29,0.04,-0.06,0.59,9.72,0.48,-3.36,10.09
8231,20,0.41,0.36,0.29,0.40,9.68,0.00,-1.92,9.61
8334,20,0.17,-0.61,0.32,0.43,9.72,0.48,0.00,8.17
8436,20,0.19,-0.36,0.09,0.36,9.72,0.00,-0.48,9.61
8640,20,0.28,-0.04,0.21,0.36,9.68,0.48,-1.92,7.69
8741,20,0.27,-0.04,0.17,0.43,9.68,0.00,-1.44,8.17
8844,20,0.22,-0.12,-0.02,0.43,9.72,0.00,-0.96,10.09
8946,20,0.20,-0.17,0.29,0.36,9.68,0.00,-1.44,10.57
9048,20,0.16,-0.20,0.36,0.36,9.68,-0.48,-1.44,9.13
9150,20,0.05,-0.45,0.17,0.36,9.76,0.96,-2.88,10.09
9252,20,0.06,-0.34,0.21,0.40,9.72,0.48,-0.96,8.17
9354,20,0.13,-0.12,0.09,0.28,9.72,1.92,-1.92,9.61
9456,20,0.11,-0.15,-0.02,0.59,9.68,-0.48,0.00,10.09
9664,20,-0.06,-0.42,0.25,0.36,9.76,-0.48,-1.92,10.09
9765,20,-0.20,-0.64,0.09,0.36,9.72,-0.96,-0.96,11.05
9867,20,-0.37,-0.87,-0.02,0.36,9.76,0.48,-1.92,8.65
9969,20,-0.40,-0.80,0.21,0.43,9.68,0.00,-0.96,9.13
10071,20,-0.49,-0.86,0.13,0.43,9.72,-0.48,-2.40,11.53
10173,20,-0.57,-0.89,0.13,0.51,9.72,0.00,-0.96,10.57
10275,20,-0.61,-0.84,0.52,0.24,9.68,-0.48,-2.88,9.13
10377,20,-0.61,-0.71,0.13,0.55,9.72,-0.48,-1.92,9.13
10581,20,-0.44,-0.28,0.36,0.43,9.68,0.00,-2.40,8.65
10691,20,-0.61,-0.50,0.21,0.43,9.72,0.48,-2.88,9.61
10793,20,-0.40,-0.08,0.48,0.28,9.68,0.48,-2.40,11.53
10896,20,-0.24,0.21,0.25,0.47,9.68,0.00,-0.96,9.61
10998,20,-0.33,0.06,0.44,-0.02,9.72,0.48,-1.44,9.13
